subterm,stem,n_patents_with_both,share_of_primary,lift,tfidf_local,score,patents
active material,activ materi,11,0.647,2.83,4.788,677.6,US20160149214A1-20160526 US20160226067A1-20160804 US20160126546A1-20160505 US20160172674A1-20160616 US20160211554A1-20160721 US20160172673A1-20160616 US20160164091A1-20160609 US20160204438A1-20160714 US20160164093A1-20160609 US20160240843A1-20160818 US20160164101A1-20160609
secondary battery,secondari batteri,10,0.588,2.94,5.306,545.8,US20160149214A1-20160526 US20160211515A1-20160721 US20160172674A1-20160616 US20160211554A1-20160721 US20160172673A1-20160616 US20160164091A1-20160609 US20160204438A1-20160714 US20160240843A1-20160818 US20160126594A1-20160505 US20160164101A1-20160609
electrolyte secondary,electrolyt secondari,9,0.529,8.24,5.724,46.6,US20160149214A1-20160526 US20160211515A1-20160721 US20160172674A1-20160616 US20160211554A1-20160721 US20160172673A1-20160616 US20160204438A1-20160714 US20160240843A1-20160818 US20160164101A1-20160609 US20160156067A1-20160602
electrolyte secondary battery,electrolyt secondari batteri,8,0.471,8.24,6.03,92.3,US20160149214A1-20160526 US20160211515A1-20160721 US20160172674A1-20160616 US20160211554A1-20160721 US20160172673A1-20160616 US20160204438A1-20160714 US20160240843A1-20160818 US20160164101A1-20160609
electrode active material,electrod activ materi,5,0.294,4.12,6.119,215.3,US20160149214A1-20160526 US20160126546A1-20160505 US20160211554A1-20160721 US20160240843A1-20160818 US20160164101A1-20160609
electrode active,electrod activ,5,0.294,4.12,6.119,155.2,US20160149214A1-20160526 US20160126546A1-20160505 US20160211554A1-20160721 US20160240843A1-20160818 US20160164101A1-20160609
general formula,gener formula,5,0.294,5.88,6.119,91.5,US20160226067A1-20160804 US20160172674A1-20160616 US20160172673A1-20160616 US20160164093A1-20160609 US20170092938A1-20170330
element selected,element select,5,0.294,6.86,6.119,77.2,US20160172674A1-20160616 US20160172673A1-20160616 US20160164091A1-20160609 US20160164093A1-20160609 US20170092938A1-20170330
present invention,present invent,4,0.235,1.57,5.788,285.6,US20160141719A1-20160519 US20160240843A1-20160818 US20170092938A1-20170330 US20160156067A1-20160602
cathode active material,cathod activ materi,4,0.235,4.71,5.788,152.3,US20160172674A1-20160616 US20160172673A1-20160616 US20160164091A1-20160609 US20160164093A1-20160609
composite oxide,composit oxid,4,0.235,6.59,5.788,75.8,US20160226067A1-20160804 US20160172674A1-20160616 US20160164091A1-20160609 US20160164093A1-20160609
cathode active,cathod activ,4,0.235,4.71,5.788,62.5,US20160172674A1-20160616 US20160172673A1-20160616 US20160164091A1-20160609 US20160164093A1-20160609
oxide particle,oxid particl,4,0.235,8.24,5.788,28.8,US20160149214A1-20160526 US20160172674A1-20160616 US20160164091A1-20160609 US20160164093A1-20160609
negative electrode active material,neg electrod activ materi,3,0.176,4.12,5.204,285.9,US20160149214A1-20160526 US20160126546A1-20160505 US20160240843A1-20160818
negative electrode,neg electrod,3,0.176,2.47,5.204,272.1,US20160149214A1-20160526 US20160126546A1-20160505 US20160240843A1-20160818
rechargeable battery,recharg batteri,3,0.176,3.09,5.204,205.3,US20160164091A1-20160609 US20160164093A1-20160609 US20170092938A1-20170330
electrolyte solution,electrolyt solut,3,0.176,2.75,5.204,172.2,US20160164140A1-20160609 US20160126594A1-20160505 US20160156067A1-20160602
electrode material,electrod materi,3,0.176,3.09,5.204,145.7,US20160211515A1-20160721 US20160240843A1-20160818 US20170092938A1-20170330
positive electrode,posit electrod,3,0.176,3.53,5.204,133.7,US20160126546A1-20160505 US20160164091A1-20160609 US20160164101A1-20160609
manufacturing method,manufactur method,3,0.176,3.09,5.204,132.8,US20160172674A1-20160616 US20160172673A1-20160616 US20160164093A1-20160609
negative electrode active,neg electrod activ,3,0.176,4.12,5.204,114.5,US20160149214A1-20160526 US20160126546A1-20160505 US20160240843A1-20160818
present invention include,present invent includ,3,0.176,6.18,5.204,70.9,US20160141719A1-20160519 US20170092938A1-20170330 US20160156067A1-20160602
output characteristic,output characterist,3,0.176,8.24,5.204,38.4,US20160172674A1-20160616 US20160172673A1-20160616 US20160164093A1-20160609
composite oxide particle,composit oxid particl,3,0.176,8.24,5.204,36.2,US20160172674A1-20160616 US20160164091A1-20160609 US20160164093A1-20160609
invention include,invent includ,3,0.176,4.12,5.204,18.1,US20160141719A1-20160519 US20170092938A1-20170330 US20160156067A1-20160602
battery module,batteri modul,2,0.118,1.5,4.28,289.5,US20160226067A1-20160804 US20160126546A1-20160505
electrode mixture layer,electrod mixtur layer,2,0.118,4.12,4.28,101.7,US20160211554A1-20160721 US20160204438A1-20160714
lithium ion,lithium ion,2,0.118,1.65,4.28,98.8,US20160149214A1-20160526 US20160126546A1-20160505
high capacity,high capac,2,0.118,3.29,4.28,97.5,US20160149214A1-20160526 US20160164091A1-20160609
calcination temperature,calcin temperatur,2,0.118,8.24,4.28,46.7,US20160172674A1-20160616 US20160172673A1-20160616
alkali metal salt,alkali metal salt,2,0.118,8.24,4.28,42.9,US20160141719A1-20160519 US20160156067A1-20160602
secondary battery include,secondari batteri includ,2,0.118,2.75,4.28,39.9,US20160211554A1-20160721 US20160204438A1-20160714
battery include,batteri includ,2,0.118,1.83,4.28,36.5,US20160211554A1-20160721 US20160204438A1-20160714
rare earth element,rare earth element,2,0.118,8.24,4.28,32.7,US20160164091A1-20160609 US20170092938A1-20170330
average particle diameter,averag particl diamet,2,0.118,8.24,4.28,31.7,US20160126546A1-20160505 US20160164101A1-20160609
x-ray diffraction,xray diffract,2,0.118,8.24,4.28,28.9,US20160164093A1-20160609 US20160240843A1-20160818
composite hydroxide particle,composit hydroxid particl,2,0.118,8.24,4.28,27.4,US20160172674A1-20160616 US20160172673A1-20160616
nitrogen atom,nitrogen atom,2,0.118,8.24,4.28,26.9,US20160141719A1-20160519 US20160156067A1-20160602
material particle,materi particl,2,0.118,3.29,4.28,26.6,US20160204438A1-20160714 US20160240843A1-20160818
low-temperature environment,lowtemperatur environ,2,0.118,8.24,4.28,26.2,US20160172674A1-20160616 US20160172673A1-20160616
phosphazene compound,phosphazen compound,2,0.118,8.24,4.28,25.3,US20160126594A1-20160505 US20160156067A1-20160602
cycle performance,cycl perform,2,0.118,8.24,4.28,25.1,US20160149214A1-20160526 US20160240843A1-20160818
cathode active material include,cathod activ materi includ,2,0.118,8.24,4.28,24.8,US20160172674A1-20160616 US20160164093A1-20160609
electrolyte secondary battery include,electrolyt secondari batteri includ,2,0.118,8.24,4.28,23.7,US20160211554A1-20160721 US20160204438A1-20160714
manganese composite,manganes composit,2,0.118,8.24,4.28,23.5,US20160172673A1-20160616 US20160164093A1-20160609
oxidizing atmosphere,oxid atmospher,2,0.118,8.24,4.28,23.5,US20160172674A1-20160616 US20160172673A1-20160616
non-aqueous solvent,nonaqu solvent,2,0.118,8.24,4.28,22.9,US20160164140A1-20160609 US20160126594A1-20160505
